"ID_MUNICIPIO","MUNICIPIO","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"001","ACAJETE",3733,2918,3689,6,295,10641,45097,35.08,27.42,34.67,0.06,2.77,23.6,76.4,"ALBERTO_JIMENEZ",35.08,"1"
"002","ACATENO",502,224,2285,4,90,3105,6978,16.17,7.21,73.59,0.13,2.9,44.5,55.5,"MIGUEL_BARBOSA",73.59,"3"
"003","ACATLAN",1671,1207,4272,7,203,7360,28427,22.7,16.4,58.04,0.1,2.76,25.89,74.11,"MIGUEL_BARBOSA",58.04,"3"
"004","ACATZINGO",2512,2866,3229,22,221,8850,37475,28.38,32.38,36.49,0.25,2.5,23.62,76.38,"MIGUEL_BARBOSA",36.49,"3"
"005","ACTEOPAN",282,98,729,0,54,1163,2333,24.25,8.43,62.68,0,4.64,49.85,50.15,"MIGUEL_BARBOSA",62.68,"3"
"006","AHUACATLAN",1510,503,1899,2,198,4112,10356,36.72,12.23,46.18,0.05,4.82,39.71,60.29,"MIGUEL_BARBOSA",46.18,"3"
"007","AHUATLAN",525,80,349,0,21,975,2543,53.85,8.21,35.79,0,2.15,38.34,61.66,"ALBERTO_JIMENEZ",53.85,"1"
"008","AHUAZOTEPEC",1258,641,1454,1,185,3539,7675,35.55,18.11,41.09,0.03,5.23,46.11,53.89,"MIGUEL_BARBOSA",41.09,"3"
"009","AHUEHUETITLA",48,19,401,0,10,478,1822,10.04,3.97,83.89,0,2.09,26.23,73.77,"MIGUEL_BARBOSA",83.89,"3"
"010","AJALPAN",1631,3992,9865,5,788,16281,43037,10.02,24.52,60.59,0.03,4.84,37.83,62.17,"MIGUEL_BARBOSA",60.59,"3"
"011","ALBINO ZERTUCHE",270,54,255,1,12,592,1434,45.61,9.12,43.07,0.17,2.03,41.28,58.72,"ALBERTO_JIMENEZ",45.61,"1"
"012","ALJOJUCA",309,473,725,0,41,1548,4904,19.96,30.56,46.83,0,2.65,31.57,68.43,"MIGUEL_BARBOSA",46.83,"3"
"013","ALTEPEXI",280,548,1764,1,40,2633,13741,10.63,20.81,67,0.04,1.52,19.16,80.84,"MIGUEL_BARBOSA",67,"3"
"014","AMIXTLAN",253,120,1202,0,85,1660,3522,15.24,7.23,72.41,0,5.12,47.13,52.87,"MIGUEL_BARBOSA",72.41,"3"
"015","AMOZOC",2678,7421,6585,21,588,17293,70815,15.49,42.91,38.08,0.12,3.4,24.42,75.58,"ENRIQUE_CARDENAS",42.91,"2"
"016","AQUIXTLA",1503,255,850,2,177,2787,6061,53.93,9.15,30.5,0.07,6.35,45.98,54.02,"ALBERTO_JIMENEZ",53.93,"1"
"017","ATEMPAN",2898,735,3342,4,363,7342,18539,39.47,10.01,45.52,0.05,4.94,39.6,60.4,"MIGUEL_BARBOSA",45.52,"3"
"018","ATEXCAL",502,265,382,0,32,1181,2764,42.51,22.44,32.35,0,2.71,42.73,57.27,"ALBERTO_JIMENEZ",42.51,"1"
"019","ATLIXCO",4846,12703,12087,38,1054,30728,105438,15.77,41.34,39.34,0.12,3.43,29.14,70.86,"ENRIQUE_CARDENAS",41.34,"2"
"020","ATOYATEMPAN",484,318,744,0,29,1575,5021,30.73,20.19,47.24,0,1.84,31.37,68.63,"MIGUEL_BARBOSA",47.24,"3"
"021","ATZALA",29,35,333,0,11,408,1070,7.11,8.58,81.62,0,2.7,38.13,61.87,"MIGUEL_BARBOSA",81.62,"3"
"022","ATZITZIHUACAN",494,730,3299,0,131,4654,9228,10.61,15.69,70.89,0,2.81,50.43,49.57,"MIGUEL_BARBOSA",70.89,"3"
"023","ATZITZINTLA",410,196,1355,4,70,2035,6322,20.15,9.63,66.58,0.2,3.44,32.19,67.81,"MIGUEL_BARBOSA",66.58,"3"
"024","AXUTLA",26,30,139,1,5,201,1063,12.94,14.93,69.15,0.5,2.49,18.91,81.09,"MIGUEL_BARBOSA",69.15,"3"
"025","AYOTOXCO DE GUERRERO",1059,246,847,2,75,2229,5979,47.51,11.04,38,0.09,3.36,37.28,62.72,"ALBERTO_JIMENEZ",47.51,"1"
"026","CALPAN",1531,854,869,1,143,3398,10695,45.06,25.13,25.57,0.03,4.21,31.77,68.23,"ALBERTO_JIMENEZ",45.06,"1"
"027","CALTEPEC",418,508,789,0,38,1753,3556,23.84,28.98,45.01,0,2.17,49.3,50.7,"MIGUEL_BARBOSA",45.01,"3"
"028","CAMOCUAUTLA",343,412,439,0,42,1236,1884,27.75,33.33,35.52,0,3.4,65.61,34.39,"MIGUEL_BARBOSA",35.52,"3"
"029","CAÑADA MORELOS",3317,1663,3068,0,308,8356,14083,39.7,19.9,36.72,0,3.69,59.33,40.67,"ALBERTO_JIMENEZ",39.7,"1"
"030","CAXHUACAN",135,64,1104,0,53,1356,2833,9.96,4.72,81.42,0,3.91,47.86,52.14,"MIGUEL_BARBOSA",81.42,"3"
"031","COATEPEC",44,11,401,0,7,463,721,9.5,2.38,86.61,0,1.51,64.22,35.78,"MIGUEL_BARBOSA",86.61,"3"
"032","COATZINGO",299,61,327,0,30,717,2266,41.7,8.51,45.61,0,4.18,31.64,68.36,"MIGUEL_BARBOSA",45.61,"3"
"033","COHETZALA",65,10,493,0,10,578,1178,11.25,1.73,85.29,0,1.73,49.07,50.93,"MIGUEL_BARBOSA",85.29,"3"
"034","COHUECAN",390,247,738,1,47,1423,3681,27.41,17.36,51.86,0.07,3.3,38.66,61.34,"MIGUEL_BARBOSA",51.86,"3"
"035","CORONANGO",1276,3670,3508,8,235,8697,38063,14.67,42.2,40.34,0.09,2.7,22.85,77.15,"ENRIQUE_CARDENAS",42.2,"2"
"036","COXCATLAN",495,832,3572,4,176,5079,14912,9.75,16.38,70.33,0.08,3.47,34.06,65.94,"MIGUEL_BARBOSA",70.33,"3"
"037","COYOMEAPAN",1531,397,4559,5,288,6780,9101,22.58,5.86,67.24,0.07,4.25,74.5,25.5,"MIGUEL_BARBOSA",67.24,"3"
"038","COYOTEPEC",306,145,426,0,29,906,1970,33.77,16,47.02,0,3.2,45.99,54.01,"MIGUEL_BARBOSA",47.02,"3"
"039","CUAPIAXTLA DE MADERO",299,282,483,4,49,1117,6183,26.77,25.25,43.24,0.36,4.39,18.07,81.93,"MIGUEL_BARBOSA",43.24,"3"
"040","CUAUTEMPAN",856,275,2216,32,166,3545,6859,24.15,7.76,62.51,0.9,4.68,51.68,48.32,"MIGUEL_BARBOSA",62.51,"3"
"041","CUAUTINCHAN",682,355,935,0,68,2040,7096,33.43,17.4,45.83,0,3.33,28.75,71.25,"MIGUEL_BARBOSA",45.83,"3"
"042","CUAUTLANCINGO",2119,12289,7634,16,519,22577,73265,9.39,54.43,33.81,0.07,2.3,30.82,69.18,"ENRIQUE_CARDENAS",54.43,"2"
"043","CUAYUCA DE ANDRADE",236,73,948,0,24,1281,2788,18.42,5.7,74,0,1.87,45.95,54.05,"MIGUEL_BARBOSA",74,"3"
"044","CUETZALAN DEL PROGRESO",6094,1670,4751,8,684,13207,32522,46.14,12.64,35.97,0.06,5.18,40.61,59.39,"ALBERTO_JIMENEZ",46.14,"1"
"045","CUYOACO",1049,533,2472,0,186,4240,11495,24.74,12.57,58.3,0,4.39,36.89,63.11,"MIGUEL_BARBOSA",58.3,"3"
"046","CHALCHICOMULA DE SESMA",3961,2885,4638,3,454,11941,33657,33.17,24.16,38.84,0.03,3.8,35.48,64.52,"MIGUEL_BARBOSA",38.84,"3"
"047","CHAPULCO",505,333,766,1,23,1628,5044,31.02,20.45,47.05,0.06,1.41,32.28,67.72,"MIGUEL_BARBOSA",47.05,"3"
"048","CHIAUTLA",758,404,4027,5,117,5311,16532,14.27,7.61,75.82,0.09,2.2,32.13,67.87,"MIGUEL_BARBOSA",75.82,"3"
"049","CHIAUTZINGO",1138,918,1069,0,116,3241,14581,35.11,28.32,32.98,0,3.58,22.23,77.77,"ALBERTO_JIMENEZ",35.11,"1"
"050","CHICONCUAUTLA",933,562,2780,4,469,4748,10638,19.65,11.84,58.55,0.08,9.88,44.63,55.37,"MIGUEL_BARBOSA",58.55,"3"
"051","CHICHIQUILA",1739,964,2619,0,230,5552,15019,31.32,17.36,47.17,0,4.14,36.97,63.03,"MIGUEL_BARBOSA",47.17,"3"
"052","CHIETLA",605,1022,7845,2,227,9701,27900,6.24,10.53,80.87,0.02,2.34,34.77,65.23,"MIGUEL_BARBOSA",80.87,"3"
"053","CHIGMECATITLAN",83,97,351,0,13,544,1117,15.26,17.83,64.52,0,2.39,48.7,51.3,"MIGUEL_BARBOSA",64.52,"3"
"054","CHIGNAHUAPAN",5214,2442,9025,14,746,17441,45179,29.9,14,51.75,0.08,4.28,38.6,61.4,"MIGUEL_BARBOSA",51.75,"3"
"055","CHIGNAUTLA",1275,1399,2219,0,281,5174,21747,24.64,27.04,42.89,0,5.43,23.79,76.21,"MIGUEL_BARBOSA",42.89,"3"
"056","CHILA",443,202,728,0,34,1407,3997,31.49,14.36,51.74,0,2.42,35.2,64.8,"MIGUEL_BARBOSA",51.74,"3"
"057","CHILA DE LA SAL",44,29,542,0,14,629,1227,7,4.61,86.17,0,2.23,51.26,48.74,"MIGUEL_BARBOSA",86.17,"3"
"058","HONEY",452,267,472,1,56,1248,5127,36.22,21.39,37.82,0.08,4.49,24.34,75.66,"MIGUEL_BARBOSA",37.82,"3"
"059","CHILCHOTLA",1147,539,1029,3,116,2834,12340,40.47,19.02,36.31,0.11,4.09,22.97,77.03,"ALBERTO_JIMENEZ",40.47,"1"
"060","CHINANTLA",75,77,280,0,10,442,2354,16.97,17.42,63.35,0,2.26,18.78,81.22,"MIGUEL_BARBOSA",63.35,"3"
"061","DOMINGO ARENAS",530,269,458,1,35,1293,5125,40.99,20.8,35.42,0.08,2.71,25.23,74.77,"ALBERTO_JIMENEZ",40.99,"1"
"062","ELOXOCHITLAN",325,259,5975,1,144,6704,8871,4.85,3.86,89.13,0.01,2.15,75.57,24.43,"MIGUEL_BARBOSA",89.13,"3"
"063","EPATLAN",390,331,428,6,32,1187,3700,32.86,27.89,36.06,0.51,2.7,32.08,67.92,"MIGUEL_BARBOSA",36.06,"3"
"064","ESPERANZA",489,672,1900,2,104,3167,10240,15.44,21.22,59.99,0.06,3.28,30.93,69.07,"MIGUEL_BARBOSA",59.99,"3"
"065","FRANCISCO Z. MENA",617,1053,2587,2,145,4404,12888,14.01,23.91,58.74,0.05,3.29,34.17,65.83,"MIGUEL_BARBOSA",58.74,"3"
"066","GENERAL FELIPE ANGELES",926,1012,1619,2,86,3645,14425,25.4,27.76,44.42,0.05,2.36,25.27,74.73,"MIGUEL_BARBOSA",44.42,"3"
"067","GUADALUPE",123,176,1340,0,52,1691,5439,7.27,10.41,79.24,0,3.08,31.09,68.91,"MIGUEL_BARBOSA",79.24,"3"
"068","GUADALUPE VICTORIA",433,498,3569,1,215,4716,11684,9.18,10.56,75.68,0.02,4.56,40.36,59.64,"MIGUEL_BARBOSA",75.68,"3"
"069","HERMENEGILDO GALEANA",790,778,916,9,134,2627,5446,30.07,29.62,34.87,0.34,5.1,48.24,51.76,"MIGUEL_BARBOSA",34.87,"3"
"070","HUAQUECHULA",1695,1128,4194,3,234,7254,20728,23.37,15.55,57.82,0.04,3.23,35,65,"MIGUEL_BARBOSA",57.82,"3"
"071","HUATLATLAUCA",396,467,1110,0,62,2035,5043,19.46,22.95,54.55,0,3.05,40.35,59.65,"MIGUEL_BARBOSA",54.55,"3"
"072","HUAUCHINANGO",4575,4167,11390,28,1195,21355,72544,21.42,19.51,53.34,0.13,5.6,29.44,70.56,"MIGUEL_BARBOSA",53.34,"3"
"073","HUEHUETLA",1328,159,2167,1,109,3764,7384,35.28,4.22,57.57,0.03,2.9,50.98,49.02,"MIGUEL_BARBOSA",57.57,"3"
"074","HUEHUETLA",205,37,447,0,14,703,1735,29.16,5.26,63.58,0,1.99,40.52,59.48,"MIGUEL_BARBOSA",63.58,"3"
"074","HUEHUETLAN EL CHICO",284,246,1991,2,84,2607,7350,10.89,9.44,76.37,0.08,3.22,35.47,64.53,"MIGUEL_BARBOSA",76.37,"3"
"075","HUEHUETLAN EL GRANDE",340,306,1004,0,40,1690,6071,20.12,18.11,59.41,0,2.37,27.84,72.16,"MIGUEL_BARBOSA",59.41,"3"
"076","HUEHUETLA",276,13,338,0,22,649,1238,42.53,2,52.08,0,3.39,52.42,47.58,"MIGUEL_BARBOSA",52.08,"3"
"076","HUEJOTZINGO",2186,4807,6904,8,426,14331,55557,15.25,33.54,48.18,0.06,2.97,25.8,74.2,"MIGUEL_BARBOSA",48.18,"3"
"077","HUEYAPAN",1284,376,1808,1,140,3609,8437,35.58,10.42,50.1,0.03,3.88,42.78,57.22,"MIGUEL_BARBOSA",50.1,"3"
"078","HUEYTAMALCO",2839,934,3398,2,335,7508,19797,37.81,12.44,45.26,0.03,4.46,37.92,62.08,"MIGUEL_BARBOSA",45.26,"3"
"079","HUEYTLALPAN",1144,192,583,0,133,2052,4172,55.75,9.36,28.41,0,6.48,49.19,50.81,"ALBERTO_JIMENEZ",55.75,"1"
